case,algo,J_opt,best,mean,std,gap_pct
Case1,SA,68.138,68.138,68.138,0.0,0.0
Case1,PSO,68.138,64.571,59.503,4.125,5.24
Case1,GA,68.138,68.138,67.675,0.655,0.0
Case1,BO,68.138,68.121,68.121,0.0,0.02
Case2,SA,104.02,104.02,104.02,0.0,0.0
Case2,PSO,104.02,96.403,93.76,1.898,7.32
Case2,GA,104.02,104.02,104.02,0.0,0.0
Case2,BO,104.02,103.872,102.473,1.399,0.14
Case3,SA,73.867,73.867,73.612,0.36,0.0
Case3,PSO,73.867,70.419,63.807,5.565,4.67
Case3,GA,73.867,73.867,73.755,0.079,0.0
Case3,BO,73.867,72.171,70.811,1.361,2.3
Case4,SA,113.954,113.954,113.44,0.727,0.0
Case4,PSO,113.954,109.57,103.605,4.368,3.85
Case4,GA,113.954,113.954,113.954,0.0,0.0
Case4,BO,113.954,113.938,113.833,0.105,0.01
Case5,SA,131.517,131.517,131.517,0.0,0.0
Case5,PSO,131.517,123.005,121.939,1.22,6.47
Case5,GA,131.517,131.517,131.517,0.0,0.0
Case5,BO,131.517,131.409,131.253,0.156,0.08
